ID,class,name,sex,age,hometown,nationality,boarding,destination,lifeboat,survival
73,2,Hood, Mr. Ambrose Jr,male,21,Fritham,England,Southampton,Manitoba,,no
74,3,Chronopoulos, Mr. Apostolos,male,26,AgiosSostis,Greece,Cherbourg,New York City,,no
75,3,Bing, Mr. Lee,male,32,HongKong,China,Southampton,New York City,C,yes
76,3,Moen, Mr. Sigurd Hansen,male,25,Bergen,Norway,Southampton,Minneapolis,,no
77,3,Staneff, Mr. Ivan,male,,Debnevo,Bulgaria,Southampton,Chicago,,no
78,3,Moutal, Mr. Rahamin Haim,male,,London,England,Southampton,New York City,,no
79,2,Caldwell, Master. Alden Gates,male,1,Bangkok,Siam,Southampton,Roseville,13,yes
80,3,Dowdell, Miss. Elizabeth,female,30,NewYorkCity,US,Southampton,New York City,13,yes
81,3,Waelens, Mr. Achille,male,22,Ruiselede,Belgium,Southampton,Stanton,,no
82,3,Sheerlinck, Mr. Jan Baptist,male,29,Haaltert,Belgium,Southampton,Detroit,11,yes
83,3,McDermott, Miss. Brigdet Delia,female,,Lahardane,Ireland,Queenstown,Chicago,13,yes
84,1,Carrau, Mr. Francisco M,male,28,Montevideo,Uruguay,Southampton,Montevideo,,no
85,2,Ilett, Miss. Bertha,female,17,Jersey,England,Southampton,Atlanta,?,yes
86,3,Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson),female,33,Kotka,Finland,Southampton,New York City,D,yes
87,3,Ford, Mr. William Neal,male,16,Rotherfield,England,Southampton,Essex County,,no
88,3,Slocovski, Mr. Selman Francis,male,,London,England,Southampton,New York City,,no
89,1,Fortune, Miss. Mabel Helen,female,23,Winnipeg,Canada,Southampton,Winnipeg,10,yes
90,3,Celotti, Mr. Francesco,male,24,Milan[83],Italy,Southampton,New York City,,no
91,3,Christmann, Mr. Emil,male,29,London,England,Southampton,New York City,,no
92,3,Andreasson, Mr. Paul Edvin,male,20,Kalfsnäs,Sweden,Southampton,Chicago,,no
93,1,Chaffee, Mr. Herbert Fuller,male,46,Amenia,US,Southampton,Amenia,,no
94,3,Dean, Mr. Bertram Frank,male,26,BartleyFarm,England,Southampton,Wichita,,no
95,3,Coxon, Mr. Daniel,male,59,London,England,Southampton,Merrill,,no
96,3,Shorney, Mr. Charles Joseph,male,,Heron'sGhyll,England,Southampton,New York,,no
97,1,Goldschmidt, Mr. George B,male,71,NewYork,US,Cherbourg,New York,,no
98,1,Greenfield, Mr. William Bertram,male,23,NewYork,US,Cherbourg,New York,7,yes
99,2,Doling, Mrs. John T (Ada Julia Bone),female,34,Southampton,England,Southampton,New York City,?,yes
100,2,Kantor, Mr. Sinai,male,34,Vitebsk,RussianEmpire,Southampton,Bronx,,no
101,3,Petranec, Miss. Matilda,female,28,Vagovina,Croatia,Southampton,Harrisburg,,no
102,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,Belish,Bulgaria,Southampton,Chicago,,no
103,1,White, Mr. Richard Frasar,male,21,Brunswick,US,Southampton,Brunswick,,no
104,3,Johansson, Mr. Gustaf Joel,male,33,Bäckebo,Sweden,Southampton,Cheyenne,,no
105,3,Gustafsson, Mr. Anders Vilhelm,male,37,Ruotsinpyhtää,Finland,Southampton,New York City,,no
106,3,Mionoff, Mr. Stoytcho,male,28,Gumostnik,Bulgaria,Southampton,Chicago,,no
107,3,Salkjelsvik, Miss. Anna Kristine,female,21,Ålesund,Norway,Southampton,Proctor,C,yes
108,3,Moss, Mr. Albert Johan,male,,Bergen,Norway,Southampton,New York City,B,yes
109,3,Rekic, Mr. Tido,male,38,BosanskaKrupa,Bosnia,Southampton,Harrisburg,,no
110,3,Moran, Miss. Bertha,female,,Askeaton,Ireland,Queenstown,Brooklyn,16,yes
111,1,Porter, Mr. Walter Chamberlain,male,47,Worcester,US,Southampton,Worcester,,no
112,3,Zabour, Miss. Hileni,female,44,Unknown,Syria,Cherbourg,New York City,,no
113,3,Barton, Mr. David John,male,22,Cambridge,England,Southampton,New York City,,no
114,3,Jussila, Miss. Katriina,female,20,Paavola,Finland,Southampton,New York City,,no
115,3,Attalah, Miss. Malake,female,17,Beirut,Lebanon,Cherbourg,New York City,,no
116,3,Pekoniemi, Mr. Edvard,male,21,Heinola,Finland,Southampton,New York City,,no
117,3,Connors, Mr. Patrick,male,70,Charleville,Ireland,Queenstown,New York City,,no
118,2,Turpin, Mr. William John Robert,male,29,Plymouth,England,Southampton,Salt Lake City,,no
119,1,Baxter, Mr. Quigg Edmond,male,24,Montreal,Canada,Cherbourg,Montreal,,no
120,3,Andersson, Miss. Ellis Anna Maria,female,2,Kisa,Sweden,Southampton,Winnipeg,,no
121,2,Hickman, Mr. Stanley George,male,21,Fritham,England,Southampton,The Pas,,no
122,3,Moore, Mr. Leonard Charles,male,,KingstonuponThames,England,Southampton,Hoboken,,no
123,2,Nasser, Mr. Nicholas,male,32,Zahlé,Lebanon,Cherbourg,Cleveland,,no
124,2,Webber, Miss. Susan,female,32,Bude,England,Southampton,Hartford,12,yes
125,1,White, Mr. Percival Wayland,male,54,Brunswick,US,Southampton,Brunswick,,no
126,3,Nicola-Yarred, Master. Elias,male,12,El-Hakour,Lebanon,Cherbourg,Jacksonville,C,yes
127,3,McMahon, Mr. Martin,male,,Craghbrien,Ireland,Queenstown,New York City,,no
128,3,Madsen, Mr. Fridtjof Arne,male,24,Trondheim,Norway,Southampton,Brooklyn,13,yes
129,3,Peter, Miss. Anna,female,,Sar'al,Syria,Cherbourg,Detroit,C,yes
130,3,Ekstrom, Mr. Johan,male,45,EffingtonRut,US,Southampton,Effington Rut,,no
131,3,Drazenoic, Mr. Jozef,male,33,Hrastelnica,Croatia,Cherbourg,New York City,,no
132,3,Coelho, Mr. Domingos Fernandeo,male,20,Funchal,Portugal,Southampton,New York City,,no
133,3,Robins, Mrs. Alexander A (Grace Charity Laury),female,47,StAustell,England,Southampton,Yonkers,,no
134,2,Weisz, Mrs. Leopold (Mathilde Francoise Pede),female,29,Bromsgrove,England,Southampton,Montreal,10,yes
135,2,Sobey, Mr. Samuel James Hayden,male,25,Porthallow,England,Southampton,Houghton,,no
136,2,Richard, Mr. Emile,male,23,Paris,France,Cherbourg,Montreal,,no
137,1,Newsom, Miss. Helen Monypeny,female,19,NewYork,US,Southampton,New York,5,yes
138,1,Futrelle, Mr. Jacques Heath,male,37,Scituate,US,Southampton,Scituate,,no
139,3,Osen, Mr. Olaf Elon,male,16,Hedesunda,Sweden,Southampton,Mitchell,,no
140,1,Giglio, Mr. Victor,male,24,Paris,France,Cherbourg,New York,,no
141,3,Boulos, Mrs. Joseph (Sultana),female,,Unknown,Lebanon,Cherbourg,Kent,,no
142,3,Nysten, Miss. Anna Sofia,female,22,Kisa,Sweden,Southampton,Hackensack,13,yes
143,3,Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck),female,24,Helsinki,Finland,Southampton,Monessen,15,yes
144,3,Burke, Mr. Jeremiah,male,19,Glanmire,Ireland,Queenstown,Charlestown,,no
145,2,Andrew, Mr. Edgardo Samuel,male,18,SanAmbrosio,Argentina,Southampton,Trenton,,no
146,2,Nicholls, Mr. Joseph Charles,male,19,St.Ives,England,Southampton,Houghton,,no
147,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,Malmö,Sweden,Southampton,Chicago,A,yes
148,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,Rotherfield,England,Southampton,Essex County,,no
149,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36,Nice,France,Southampton,New York City,,no
150,2,Byles, Rev. Thomas Roussel Davids,male,42,London,England,Southampton,Jacksonville,,no
151,2,Bateman, Rev. Robert James,male,51,Jacksonville,US,Southampton,Jacksonville,,no
152,1,Pears, Mrs. Thomas (Edith Wearne),female,22,Isleworth,England,Southampton,New York,8,yes
153,3,Meo, Mr. Alfonzo,male,55,Bournemouth,England,Southampton,Washington,,no
154,3,van Billiard, Mr. Austin Blyler,male,40,London,England,Southampton,North Wales,,no
155,3,Olsen, Mr. Ole Martin,male,,Sunnhordland,Norway,Southampton,Broderick,,no
156,1,Williams, Mr. Charles Duane,male,51,Geneva,Switzerland,Cherbourg,Radnor,,no
157,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,Esker,Ireland,Queenstown,New York City,16,yes
158,3,Corn, Mr. Harry,male,30,London,England,Southampton,New York City,,no
159,3,Smiljanic, Mr. Mile,male,,Pisac,Croatia,Southampton,New York City,,no
160,3,Sage, Master. Thomas Henry,male,,Peterborough,England,Southampton,Jacksonville,,no
161,3,Cribb, Mr. John Hatfield,male,44,Bournemouth,England,Southampton,Newark,,no
162,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,Aberdeen,Scotland,Southampton,Portland,9,yes
163,3,Bengtsson, Mr. John Viktor,male,26,Fridhemsberg,Sweden,Southampton,Monee,,no
164,3,Calic, Mr. Jovo,male,17,Brezik,Croatia,Southampton,Sault Ste. Marie,,no
165,3,Panula, Master. Eino Viljami,male,1,Ylihärmä,Finland,Southampton,Coal Center,,no
166,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,Strood,England,Southampton,Detroit,C,yes
167,1,Chibnall, Mrs. (Edith Martha Bowerman),female,,StLeonards-on-Sea,England,Southampton,New York,6,yes
168,3,Skoog, Mrs. William (Anna Bernhardina Karlsson),female,45,Hällekis,Sweden,Southampton,Iron Mountain,,no
169,1,Baumann, Mr. John D,male,,NewYork,US,Cherbourg,New York,,no
170,3,Ling, Mr. Lee,male,28,HongKong,China,Southampton,New York City,,no
171,1,Van der hoef, Mr. Wyckoff,male,61,Brooklyn,US,Belfast,Brooklyn,,no
172,3,Rice, Master. Arthur,male,4,Athlone,Ireland,Queenstown,Spokane,,no
173,3,Johnson, Miss. Eleanor Ileen,female,1,St.Charles,US,Southampton,St. Charles,15,yes
174,3,Sivola, Mr. Antti Wilhelm,male,21,MountainHome,US,Southampton,Mountain Home,,no
175,1,Smith, Mr. James Clinch,male,56,Paris,France,Cherbourg,Long Island,,no
176,3,Klasen, Mr. Klas Albin,male,18,Grimshut,Sweden,Southampton,New York City,,no
177,3,Lefebre, Master. Henry Forbes,male,,Liévin,France,Southampton,Mystic,,no
178,1,Isham, Miss. Ann Elizabeth,female,50,Chicago,US,Cherbourg,Chicago,,no
179,2,Hale, Mr. Reginald,male,30,Auburn,US,Southampton,Auburn,,no
180,3,Leonard, Mr. Lionel,male,36,NewYorkCity,US,Southampton,New York City,,no
181,3,Sage, Miss. Constance Gladys,female,,Peterborough,England,Southampton,Jacksonville,,no
182,2,Pernot, Mr. Rene,male,,Paris,France,Cherbourg,New York,,no
183,3,Asplund, Master. Clarence Gustaf Hugo,male,9,Alseda,Sweden,Southampton,Worcester,,no
184,2,Becker, Master. Richard F,male,1,Guntur,BritishIndia,Southampton,Benton Harbor,11,yes
185,3,Kink-Heilmann, Miss. Luise Gretchen,female,4,Zürich,Switzerland,Southampton,Milwaukee,2,yes
186,1,Rood, Mr. Hugh Roscoe,male,,Seattle,US,Southampton,Seattle,,no
187,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,Pallasgreen,Ireland,Queenstown,New York City,?,yes
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,NewYork,US,Southampton,New York,9,yes
189,3,Bourke, Mr. John,male,40,Carrowskehine,Ireland,Queenstown,Chicago,,no
190,3,Turcin, Mr. Stjepan,male,36,Bratina,Croatia,Southampton,Youngstown,,no
191,2,Pinsky, Mrs. (Rosa),female,32,Brooklyn,US,Southampton,Brooklyn,9,yes
192,2,Carbines, Mr. William,male,19,St.Ives,England,Southampton,Houghton,,no
193,3,Andersen-Jensen, Miss. Carla Christine Nielsine,female,19,Eskilstrup,Denmark,Southampton,Portland,16,yes
194,2,Navratil, Master. Michel M,male,3,Nice,France,Southampton,New York City,D,yes
195,1,Brown, Mrs. James Joseph (Margaret Tobin),female,44,Denver,US,Cherbourg,Denver,6,yes
196,1,Lurette, Miss. Elise,female,58,NewYork,US,Cherbourg,New York,6,yes
197,3,Mernagh, Mr. Robert,male,,Ballywilliam,Ireland,Queenstown,Chicago,,no
198,3,Olsen, Mr. Karl Siegwart Andreas,male,42,Trondheim,Norway,Southampton,Brooklyn,,no
199,3,"Madigan, Miss. Margaret ""Maggie""",female,,Askeaton,Ireland,Queenstown,New York City,15,yes
200,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,Paris,France,Southampton,Montreal,,no
201,3,Vande Walle, Mr. Nestor Cyriel,male,28,Westrozebeke,Belgium,Southampton,New York City,,no
202,3,Sage, Mr. Frederick,male,,Peterborough,England,Southampton,Jacksonville,,no
203,3,Johanson, Mr. Jakob Alfred,male,34,Munsala,Finland,Southampton,Vancouver,,no
204,3,Youseff, Mr. Gerious,male,45,Hardîne,Lebanon,Cherbourg,Wilkes-Barre,,no
205,3,"Cohen, Mr. Gurshon ""Gus""",male,18,London,England,Southampton,Brooklyn,12,yes
206,3,Strom, Miss. Telma Matilda,female,2,IndianaHarbor,US,Southampton,Indiana Harbor,,no
207,3,Backstrom, Mr. Karl Alfred,male,32,Kotka,Finland,Southampton,New York City,,no
208,3,Albimona, Mr. Nassef Cassem,male,26,Fredericksburg,US,Cherbourg,Fredericksburg,15,yes
209,3,"Carr, Miss. Helen ""Ellen""",female,16,Corglass,Ireland,Queenstown,New York City,16,yes
210,1,Blank, Mr. Henry,male,40,GlenRidge,US,Cherbourg,Glen Ridge,7,yes
211,3,Ali, Mr. Ahmed,male,24,BuenosAires,Argentina,Southampton,New York City,,no
212,2,Cameron, Miss. Clear Annie,female,35,London,UK,Southampton,Mamaronek,14,yes
213,3,Perkin, Mr. John Henry,male,22,Holsworthy,England,Southampton,Saskatoon,,no
214,2,Givard, Mr. Hans Kristensen,male,30,Kølsen,Denmark,Southampton,San Francisco,,no
215,3,Kiernan, Mr. Philip,male,,Aughnacliffe,Ireland,Queenstown,Jersey City,,no
216,1,Newell, Miss. Madeleine,female,31,Lexington,US,Cherbourg,Lexington,6,yes
217,3,Honkanen, Miss. Eliina,female,27,Saarijärvi,Finland,Southampton,New York City,?,yes
218,2,Jacobsohn, Mr. Sidney Samuel,male,42,London,England,Southampton,Montreal,,no
219,1,Bazzani, Miss. Albina,female,32,Philadelphia,US,Cherbourg,Philadelphia,8,yes
220,2,Harris, Mr. Walter,male,30,London,England,Southampton,New York City,,no
221,3,Sunderland, Mr. Victor Francis,male,16,London,England,Southampton,Cleveland,B,yes
222,2,Bracken, Mr. James H,male,27,LakeArthur,US,Southampton,Lake Arthur,,no
223,3,Green, Mr. George Henry,male,51,Dorking,England,Southampton,Lead,,no
224,3,Nenkoff, Mr. Christo,male,,Unknown,Bulgaria,Southampton,Coon Rapids,,no
225,1,Hoyt, Mr. Frederick Maxfield,male,38,NewYork,US,Southampton,Stamford,D,yes
226,3,Berglund, Mr. Karl Ivar Sven,male,22,Firtby,Finland,Southampton,New York City,,no
227,2,Mellors, Mr. William John,male,19,Chelsea,England,Southampton,Long Island,B,yes
228,3,"Lovell, Mr. John Hall (""Henry"")",male,44336,Northlew,England,Southampton,New York City,,no
229,2,Fahlstrom, Mr. Arne Jonas,male,18,Oslo,Norway,Southampton,Bayonne,,no
230,3,Lefebre, Miss. Mathilde,female,,Liévin,France,Southampton,Mystic,,no
231,1,Harris, Mrs. Henry Birkhardt (Irene Wallach),female,35,NewYork,US,Southampton,New York,D,yes
232,3,Larsson, Mr. Bengt Edvin,male,29,Nyköping,Sweden,Southampton,Hartford,,no
233,2,Sjostedt, Mr. Ernst Adolf,male,59,Hjo,Sweden,Southampton,Sault Ste Marie,10,no
234,3,Asplund, Miss. Lillian Gertrud,female,5,Alseda,Sweden,Southampton,Worcester,15,yes
235,2,Leyson, Mr. Robert William Norman,male,24,London,England,Southampton,New York City,,no
236,3,Harknett, Miss. Alice Phoebe,female,,ThorntonHeath,England,Southampton,New London,,no
237,2,Hold, Mr. Stephen,male,44,Porthoustock,England,Southampton,Sacramento,,no
238,2,"Collyer, Miss. Marjorie ""Lottie""",female,8,Bishopstoke,England,Southampton,Payette,14,yes
239,2,Pengelly, Mr. Frederick William,male,19,Gunnislake,England,Southampton,Butte,,no
240,2,Hunt, Mr. George Henry,male,33,Philadelphia,US,Southampton,Philadelphia,,no
241,3,Zabour, Miss. Thamine,female,,Unknown,Syria,Cherbourg,New York City,,no
242,3,"Murphy, Miss. Katherine ""Kate""",female,,Aghnacliffe,Ireland,Queenstown,Philadelphia,16,yes
243,2,Coleridge, Mr. Reginald Charles,male,29,London,England,Southampton,Detroit,,no
244,3,Maenpaa, Mr. Matti Alexanteri,male,22,Kauhajoki,Finland,Southampton,Sudbury,,no
245,3,Attalah, Mr. Sleiman,male,30,Ottawa,Canada,Cherbourg,Ottawa,,no
246,1,Minahan, Dr. William Edward,male,44,FondduLac,US,Southampton,Fond du Lac,,no
247,3,Lindahl, Miss. Agda Thorilda Viktoria,female,25,Stockholm,Sweden,Southampton,Saranac Lake,,no
248,2,Hamalainen, Mrs. William (Anna),female,24,Detroit,US,Southampton,Detroit,4,yes
249,1,Beckwith, Mr. Richard Leonard,male,37,NewYork,US,Southampton,New York,5,yes
250,2,Carter, Rev. Ernest Courtenay,male,54,London,UK,Southampton,New York City,,no
251,3,Reed, Mr. James George,male,,Penarth,Wales,Southampton,New York City,,no
252,3,Strom, Mrs. Wilhelm (Elna Matilda Persson),female,29,IndianaHarbor,US,Southampton,Indiana Harbor,,no
253,1,Stead, Mr. William Thomas,male,62,London,UK,Southampton,New York,,no
254,3,Lobb, Mr. William Arthur,male,30,Scranton,US,Southampton,Scranton,,no
255,3,Rosblom, Mrs. Viktor (Helena Wilhelmina),female,41,Suistamo,Finland,Southampton,Astoria,,no
256,3,Touma, Mrs. Darwis (Hanne Youssef Razi),female,29,Tibnin,Lebanon,Cherbourg,Dowagiac,C,yes
257,1,Thorne, Mrs. Gertrude Maybelle,female,,NewYork,US,Cherbourg,New York,D,yes
258,1,Cherry, Miss. Gladys,female,30,London,UK,Southampton,Vancouver,8,yes
259,1,Ward, Miss. Anna,female,35,Germantown,US,Cherbourg,Germantown,3,yes
260,2,Parrish, Mrs. (Lutie Davis),female,50,WoodfordCounty,US,Southampton,Woodford County,12,yes
261,3,Smith, Mr. Thomas,male,,Caltra,Ireland,Queenstown,Hammond,,no
262,3,Asplund, Master. Edvin Rojj Felix,male,3,Alseda,Sweden,Southampton,Worcester,15,yes
263,1,Taussig, Mr. Emil,male,52,NewYork,US,Southampton,New York,,no
264,1,Harrison, Mr. William,male,40,Wallasey,England,Southampton,New York,,no
265,3,Henry, Miss. Delia,female,,Clonown,Ireland,Queenstown,Boston,,no
266,2,Reeves, Mr. David,male,36,Slinfold,England,Southampton,New York City,,no
267,3,Panula, Mr. Ernesti Arvid,male,16,Ylihärmä,Finland,Southampton,Coal Center,,no
268,3,Persson, Mr. Ernst Ulrik,male,25,Stockholm,Sweden,Southampton,Indianapolis,15,yes
269,1,Graham, Mrs. William Thompson (Edith Junkins),female,58,Greenwich,US,Southampton,Greenwich,3,yes
270,1,Bissette, Miss. Amelia,female,35,NewYork,US,Cherbourg,New York,8,yes
271,1,Cairns, Mr. Alexander,male,,BrynMawr,US,Southampton,Bryn Mawr,,no
272,3,Tornquist, Mr. William Henry,male,25,Sundbyberg,Sweden,Southampton,New York City,15,yes
273,2,Mellinger, Mrs. (Elizabeth Anne Maidment),female,41,Wimbledon,England,Southampton,Bennington,14,yes
274,1,Natsch, Mr. Charles H,male,37,Brooklyn,US,Cherbourg,Brooklyn,,no
275,3,"Healy, Miss. Hanora ""Nora""",female,,Athenry,Ireland,Queenstown,New York City,16,yes
276,1,Andrews, Miss. Kornelia Theodosia,female,63,Hudson,US,Cherbourg,Hudson,10,yes
277,3,Lindblom, Miss. Augusta Charlotta,female,45,Stockholm,Sweden,Southampton,Stratford,,no
278,2,"Parkes, Mr. Francis ""Frank""",male,,Belfast,Ireland,Belfast,New York City,,no
279,3,Rice, Master. Eric,male,7,Athlone,Ireland,Queenstown,Spokane,,no
280,3,Abbott, Mrs. Stanton (Rosa Hunt),female,35,EastProvidence,US,Southampton,East Providence,A,yes
281,3,Duane, Mr. Frank,male,65,Bunmahon,Ireland,Queenstown,Morris Plains,,no
282,3,Olsson, Mr. Nils Johan Goransson,male,28,Eslöv,Sweden,Southampton,New York City,,no
